player,time,count
messi,0,4
messi,10,3
messi,15,8
messi,20,11
messi,25,5
messi,30,6
messi,35,7
messi,40,7
messi,45,4
messi,5,3
messi,50,4
messi,55,8
messi,60,7
messi,65,3
messi,70,4
messi,75,9
messi,80,6
messi,85,9
messi,90,1
messi,上半场加时,1
messi,下半场加时,4
ronaldo,0,2
ronaldo,10,7
ronaldo,105,2
ronaldo,120,1
ronaldo,15,4
ronaldo,20,6
ronaldo,25,14
ronaldo,30,2
ronaldo,35,5
ronaldo,40,7
ronaldo,45,11
ronaldo,5,6
ronaldo,50,8
ronaldo,55,7
ronaldo,60,9
ronaldo,65,5
ronaldo,70,4
ronaldo,75,7
ronaldo,80,5
ronaldo,85,8
ronaldo,90,4
ronaldo,下半场加时,4
