date,score
2005/11/2,1
2006/9/27,1
2007/9/19,1
2007/10/2,1
2007/11/7,1
2007/11/27,1
2008/2/20,2
2008/10/1,2
2008/10/22,1
2008/11/4,1
2008/11/26,1
2009/3/11,1
2009/4/8,2
2009/5/27,1
2009/9/29,1
2009/12/9,1
2010/3/17,2
2010/4/6,4
2010/9/14,2
2010/10/20,2
2010/11/2,1
2010/11/24,1
2011/3/8,2
2011/4/12,1
2011/4/27,2
2011/5/28,1
2011/9/28,2
2011/11/1,3
2011/11/23,1
2012/2/14,1
2012/3/7,5
2012/4/3,2
2012/9/19,2
2012/11/7,1
2012/11/20,2
2013/3/12,2
2013/4/2,1
2013/9/18,3
2013/10/22,1
2013/11/6,2
2014/2/18,1
2014/3/12,1
2014/9/30,1
2014/10/21,1
2014/11/5,2
2014/11/25,3
2014/12/10,1
2015/5/6,2
2015/11/24,2
2015/12/9,1
2016/2/23,2
2016/3/16,1
2016/9/13,3
2016/10/19,3
2016/11/1,1
2016/11/23,2
2016/12/6,1
2017/3/8,1
2017/9/12,2
2017/10/18,1
2018/2/20,1
2018/3/14,2
2018/9/18,3
2018/10/3,2
2018/11/28,1
2019/3/13,2
2019/4/16,2
2019/5/1,2
2019/10/23,1
2019/11/27,1
2020/8/8,1
2020/10/20,1
2020/10/28,1
2020/11/4,1
