player,date,type,score
messi,10/1/2008,Left-footed shot,1
messi,10/1/2008,Right-footed shot,1
messi,10/18/2017,Direct free kick,1
messi,10/19/2016,Left-footed shot,3
messi,10/20/2010,Left-footed shot,2
messi,10/20/2020,Penalty,1
messi,10/21/2014,Left-footed shot,1
messi,10/22/2008,Left-footed shot,1
messi,10/22/2013,Left-footed shot,1
messi,10/23/2019,Left-footed shot,1
messi,10/28/2020,Penalty,1
messi,10/3/2018,Left-footed shot,2
messi,11/1/2011,Left-footed shot,2
messi,11/1/2011,Penalty,1
messi,11/1/2016,Left-footed shot,1
messi,11/2/2005,Left-footed shot,1
messi,11/2/2010,Right-footed shot,1
messi,11/20/2012,Left-footed shot,1
messi,11/20/2012,Right-footed shot,1
messi,11/23/2011,Penalty,1
messi,11/23/2016,Left-footed shot,1
messi,11/23/2016,Penalty,1
messi,11/24/2010,Left-footed shot,1
messi,11/24/2015,Left-footed shot,1
messi,11/25/2014,Right-footed shot,3
messi,11/26/2008,Left-footed shot,1
messi,11/27/2007,Penalty,1
messi,11/27/2019,Left-footed shot,1
messi,11/28/2018,Left-footed shot,1
messi,11/4/2008,Left-footed shot,1
messi,11/4/2020,Penalty,1
messi,11/5/2014,Header,1
messi,11/5/2014,Left-footed shot,1
messi,11/6/2013,Left-footed shot,1
messi,11/6/2013,Penalty,1
messi,11/7/2007,Left-footed shot,1
messi,12/10/2014,Right-footed shot,1
messi,12/6/2016,Left-footed shot,1
messi,12/9/2009,Direct free kick,1
messi,12/9/2015,Right-footed shot,1
messi,2/14/2012,Left-footed shot,1
messi,2/18/2014,Penalty,1
messi,2/20/2008,Left-footed shot,2
messi,2/20/2018,Left-footed shot,1
messi,2/23/2016,Left-footed shot,1
messi,2/23/2016,Penalty,1
messi,3/11/2009,Left-footed shot,1
messi,3/12/2013,Left-footed shot,2
messi,3/12/2014,Left-footed shot,1
messi,3/13/2019,Penalty,1
messi,3/13/2019,Right-footed shot,1
messi,3/14/2018,Left-footed shot,1
messi,3/14/2018,Right-footed shot,1
messi,3/16/2016,Left-footed shot,1
messi,3/17/2010,Left-footed shot,2
messi,3/7/2012,Left-footed shot,4
