index,player,date,type,score,sum
38,messi,2009/12/9,Direct free kick,1,1
80,messi,2013/9/18,Direct free kick,1,2
2,messi,2017/10/18,Direct free kick,1,3
82,messi,2018/9/18,Direct free kick,1,4
70,messi,2019/5/1,Direct free kick,1,5
24,ronaldo,2007/11/27,Direct free kick,1,1
88,ronaldo,2009/5/5,Direct free kick,1,2
96,ronaldo,2009/9/15,Direct free kick,2,4
33,ronaldo,2009/12/8,Direct free kick,1,5
3,ronaldo,2010/10/19,Direct free kick,1,6
14,ronaldo,2011/11/2,Direct free kick,1,7
79,ronaldo,2012/4/4,Direct free kick,1,8
76,ronaldo,2014/4/29,Direct free kick,1,9
36,ronaldo,2015/12/8,Direct free kick,1,10
62,ronaldo,2016/4/12,Direct free kick,1,11
95,ronaldo,2016/9/14,Direct free kick,1,12
