index,player,date,type,score,sum
72,messi,2009/5/27,Header,1,1
89,messi,2011/9/28,Header,1,2
86,messi,2012/9/19,Header,1,3
31,messi,2014/11/5,Header,1,4
72,ronaldo,2007/4/24,Header,1,1
102,ronaldo,2007/9/19,Header,1,2
6,ronaldo,2007/10/23,Header,1,3
58,ronaldo,2008/4/1,Header,1,4
86,ronaldo,2008/5/21,Header,1,5
49,ronaldo,2009/3/11,Header,1,6
40,ronaldo,2013/2/13,Header,1,7
4,ronaldo,2013/10/2,Header,2,9
43,ronaldo,2015/2/18,Header,1,10
48,ronaldo,2015/3/10,Header,2,12
90,ronaldo,2015/5/5,Header,1,13
97,ronaldo,2015/9/15,Header,1,14
21,ronaldo,2015/11/25,Header,1,15
63,ronaldo,2016/4/12,Header,1,16
68,ronaldo,2017/4/18,Header,1,17
84,ronaldo,2017/5/2,Header,1,18
16,ronaldo,2017/11/21,Header,1,19
56,ronaldo,2018/3/6,Header,1,20
50,ronaldo,2019/3/12,Header,2,22
60,ronaldo,2019/4/10,Header,1,23
67,ronaldo,2019/4/16,Header,1,24
