index,player,date,type,score,sum
15,messi,2005/11/2,Left-footed shot,1,1
88,messi,2006/9/27,Left-footed shot,1,2
85,messi,2007/9/19,Left-footed shot,1,3
35,messi,2007/11/7,Left-footed shot,1,4
42,messi,2008/2/20,Left-footed shot,2,6
0,messi,2008/10/1,Left-footed shot,1,7
7,messi,2008/10/22,Left-footed shot,1,8
29,messi,2008/11/4,Left-footed shot,1,9
25,messi,2008/11/26,Left-footed shot,1,10
46,messi,2009/3/11,Left-footed shot,1,11
68,messi,2009/4/8,Left-footed shot,1,12
91,messi,2009/9/29,Left-footed shot,1,13
54,messi,2010/3/17,Left-footed shot,2,15
66,messi,2010/4/6,Left-footed shot,3,18
79,messi,2010/9/14,Left-footed shot,2,20
4,messi,2010/10/20,Left-footed shot,2,22
22,messi,2010/11/24,Left-footed shot,1,23
57,messi,2011/3/8,Left-footed shot,1,24
60,messi,2011/4/12,Left-footed shot,1,25
64,messi,2011/4/27,Left-footed shot,1,26
73,messi,2011/5/28,Left-footed shot,1,27
90,messi,2011/9/28,Left-footed shot,1,28
12,messi,2011/11/1,Left-footed shot,2,30
40,messi,2012/2/14,Left-footed shot,1,31
55,messi,2012/3/7,Left-footed shot,4,35
87,messi,2012/9/19,Left-footed shot,1,36
17,messi,2012/11/20,Left-footed shot,1,37
47,messi,2013/3/12,Left-footed shot,2,39
63,messi,2013/4/2,Left-footed shot,1,40
81,messi,2013/9/18,Left-footed shot,2,42
8,messi,2013/10/22,Left-footed shot,1,43
33,messi,2013/11/6,Left-footed shot,1,44
48,messi,2014/3/12,Left-footed shot,1,45
92,messi,2014/9/30,Left-footed shot,1,46
6,messi,2014/10/21,Left-footed shot,1,47
32,messi,2014/11/5,Left-footed shot,1,48
74,messi,2015/5/6,Left-footed shot,1,49
23,messi,2015/11/24,Left-footed shot,1,50
44,messi,2016/2/23,Left-footed shot,1,51
53,messi,2016/3/16,Left-footed shot,1,52
78,messi,2016/9/13,Left-footed shot,3,55
3,messi,2016/10/19,Left-footed shot,3,58
14,messi,2016/11/1,Left-footed shot,1,59
20,messi,2016/11/23,Left-footed shot,1,60
37,messi,2016/12/6,Left-footed shot,1,61
77,messi,2017/9/12,Left-footed shot,2,63
43,messi,2018/2/20,Left-footed shot,1,64
51,messi,2018/3/14,Left-footed shot,1,65
83,messi,2018/9/18,Left-footed shot,1,66
11,messi,2018/10/3,Left-footed shot,2,68
28,messi,2018/11/28,Left-footed shot,1,69
61,messi,2019/4/16,Left-footed shot,1,70
71,messi,2019/5/1,Left-footed shot,1,71
9,messi,2019/10/23,Left-footed shot,1,72
27,messi,2019/11/27,Left-footed shot,1,73
76,messi,2020/8/8,Left-footed shot,1,74
54,ronaldo,2008/3/4,Left-footed shot,1,1
107,ronaldo,2009/9/30,Left-footed shot,1,2
47,ronaldo,2010/3/10,Left-footed shot,1,3
18,ronaldo,2010/11/23,Left-footed shot,1,4
44,ronaldo,2012/2/21,Left-footed shot,1,5
11,ronaldo,2012/10/3,Left-footed shot,1,6
77,ronaldo,2013/4/3,Left-footed shot,1,7
100,ronaldo,2013/9/17,Left-footed shot,2,9
45,ronaldo,2014/2/26,Left-footed shot,1,10
71,ronaldo,2014/4/2,Left-footed shot,1,11
23,ronaldo,2014/11/26,Left-footed shot,1,12
109,ronaldo,2015/9/30,Left-footed shot,1,13
69,ronaldo,2017/4/18,Left-footed shot,1,14
103,ronaldo,2017/9/26,Left-footed shot,1,15
17,ronaldo,2017/11/21,Left-footed shot,1,16
92,ronaldo,2020/8/7,Left-footed shot,1,17
20,ronaldo,2020/11/24,Left-footed shot,1,18
