index,player,date,type,score,sum
7,ronaldo,2007/10/23,Penalty,1,1
19,ronaldo,2010/11/23,Penalty,1,2
15,ronaldo,2011/11/2,Penalty,1,3
74,ronaldo,2012/4/25,Penalty,1,4
8,ronaldo,2013/10/23,Penalty,1,5
87,ronaldo,2014/5/24,Penalty,1,6
0,ronaldo,2014/10/1,Penalty,1,7
39,ronaldo,2014/12/9,Penalty,1,8
83,ronaldo,2015/5/13,Penalty,1,9
98,ronaldo,2015/9/15,Penalty,2,11
94,ronaldo,2017/9/13,Penalty,1,12
2,ronaldo,2017/10/17,Penalty,1,13
41,ronaldo,2018/2/14,Penalty,1,14
61,ronaldo,2018/4/11,Penalty,1,15
51,ronaldo,2019/3/12,Penalty,1,16
93,ronaldo,2020/8/7,Penalty,1,17
38,ronaldo,2020/12/8,Penalty,2,19
26,messi,2007/11/27,Penalty,1,1
58,messi,2011/3/8,Penalty,1,2
13,messi,2011/11/1,Penalty,1,3
19,messi,2011/11/23,Penalty,1,4
65,messi,2012/4/3,Penalty,2,6
34,messi,2013/11/6,Penalty,1,7
41,messi,2014/2/18,Penalty,1,8
45,messi,2016/2/23,Penalty,1,9
21,messi,2016/11/23,Penalty,1,10
59,messi,2017/3/8,Penalty,1,11
49,messi,2019/3/13,Penalty,1,12
5,messi,2020/10/20,Penalty,1,13
10,messi,2020/10/28,Penalty,1,14
30,messi,2020/11/4,Penalty,1,15
