index,player,date,type,score,sum
1,messi,2008/10/1,Right-footed shot,1,1
69,messi,2009/4/8,Right-footed shot,1,2
67,messi,2010/4/6,Right-footed shot,1,3
16,messi,2010/11/2,Right-footed shot,1,4
56,messi,2012/3/7,Right-footed shot,1,5
18,messi,2012/11/20,Right-footed shot,1,6
24,messi,2014/11/25,Right-footed shot,3,9
36,messi,2014/12/10,Right-footed shot,1,10
75,messi,2015/5/6,Right-footed shot,1,11
39,messi,2015/12/9,Right-footed shot,1,12
52,messi,2018/3/14,Right-footed shot,1,13
84,messi,2018/9/18,Right-footed shot,1,14
50,messi,2019/3/13,Right-footed shot,1,15
62,messi,2019/4/16,Right-footed shot,1,16
59,ronaldo,2007/4/10,Right-footed shot,2,2
26,ronaldo,2007/11/7,Right-footed shot,1,3
89,ronaldo,2009/5/5,Right-footed shot,1,4
108,ronaldo,2009/9/30,Right-footed shot,1,5
34,ronaldo,2009/12/8,Right-footed shot,1,6
35,ronaldo,2010/12/8,Right-footed shot,1,7
81,ronaldo,2011/4/5,Right-footed shot,1,8
66,ronaldo,2011/4/13,Right-footed shot,1,9
105,ronaldo,2011/9/27,Right-footed shot,1,10
52,ronaldo,2012/3/14,Right-footed shot,2,12
80,ronaldo,2012/4/4,Right-footed shot,1,13
75,ronaldo,2012/4/25,Right-footed shot,1,14
101,ronaldo,2012/9/18,Right-footed shot,1,15
12,ronaldo,2012/10/3,Right-footed shot,2,17
10,ronaldo,2012/10/24,Right-footed shot,1,18
31,ronaldo,2012/12/4,Right-footed shot,1,19
55,ronaldo,2013/3/5,Right-footed shot,1,20
82,ronaldo,2013/4/9,Right-footed shot,2,22
73,ronaldo,2013/4/24,Right-footed shot,1,23
9,ronaldo,2013/10/23,Right-footed shot,1,24
25,ronaldo,2013/11/5,Right-footed shot,1,25
28,ronaldo,2013/12/10,Right-footed shot,1,26
46,ronaldo,2014/2/26,Right-footed shot,1,27
53,ronaldo,2014/3/18,Right-footed shot,2,29
99,ronaldo,2014/9/16,Right-footed shot,1,30
5,ronaldo,2014/10/22,Right-footed shot,1,31
110,ronaldo,2015/9/30,Right-footed shot,1,32
22,ronaldo,2015/11/25,Right-footed shot,1,33
37,ronaldo,2015/12/8,Right-footed shot,2,35
42,ronaldo,2016/2/17,Right-footed shot,1,36
57,ronaldo,2016/3/8,Right-footed shot,1,37
64,ronaldo,2016/4/12,Right-footed shot,1,38
106,ronaldo,2016/9/27,Right-footed shot,1,39
65,ronaldo,2017/4/12,Right-footed shot,2,41
70,ronaldo,2017/4/18,Right-footed shot,1,42
85,ronaldo,2017/5/2,Right-footed shot,2,44
91,ronaldo,2017/6/3,Right-footed shot,2,46
104,ronaldo,2017/9/26,Right-footed shot,1,47
13,ronaldo,2017/11/1,Right-footed shot,1,48
32,ronaldo,2017/12/6,Right-footed shot,1,49
78,ronaldo,2018/4/3,Right-footed shot,2,51
27,ronaldo,2018/11/7,Right-footed shot,1,52
1,ronaldo,2019/10/1,Right-footed shot,1,53
29,ronaldo,2019/12/11,Right-footed shot,1,54
30,ronaldo,2020/12/2,Right-footed shot,1,55
