,index,player,date,type,score,sum
0,3,ronaldo,10/19/2010,Direct free kick,1,1
1,14,ronaldo,11/2/2011,Direct free kick,1,2
2,24,ronaldo,11/27/2007,Direct free kick,1,3
3,33,ronaldo,12/8/2009,Direct free kick,1,4
4,36,ronaldo,12/8/2015,Direct free kick,1,5
5,62,ronaldo,4/12/2016,Direct free kick,1,6
6,76,ronaldo,4/29/2014,Direct free kick,1,7
7,79,ronaldo,4/4/2012,Direct free kick,1,8
8,88,ronaldo,5/5/2009,Direct free kick,1,9
9,95,ronaldo,9/14/2016,Direct free kick,1,10
10,96,ronaldo,9/15/2009,Direct free kick,2,12
