,index,player,date,type,score,sum
0,4,ronaldo,10/2/2013,Header,2,2
1,6,ronaldo,10/23/2007,Header,1,3
2,16,ronaldo,11/21/2017,Header,1,4
3,21,ronaldo,11/25/2015,Header,1,5
4,40,ronaldo,2/13/2013,Header,1,6
5,43,ronaldo,2/18/2015,Header,1,7
6,48,ronaldo,3/10/2015,Header,2,9
7,49,ronaldo,3/11/2009,Header,1,10
8,50,ronaldo,3/12/2019,Header,2,12
9,56,ronaldo,3/6/2018,Header,1,13
10,58,ronaldo,4/1/2008,Header,1,14
11,60,ronaldo,4/10/2019,Header,1,15
12,63,ronaldo,4/12/2016,Header,1,16
13,67,ronaldo,4/16/2019,Header,1,17
14,68,ronaldo,4/18/2017,Header,1,18
15,72,ronaldo,4/24/2007,Header,1,19
16,84,ronaldo,5/2/2017,Header,1,20
17,86,ronaldo,5/21/2008,Header,1,21
18,90,ronaldo,5/5/2015,Header,1,22
19,97,ronaldo,9/15/2015,Header,1,23
20,102,ronaldo,9/19/2007,Header,1,24
