,index,player,date,type,score,sum
0,11,ronaldo,10/3/2012,Left-footed shot,1,1
1,17,ronaldo,11/21/2017,Left-footed shot,1,2
2,18,ronaldo,11/23/2010,Left-footed shot,1,3
3,20,ronaldo,11/24/2020,Left-footed shot,1,4
4,23,ronaldo,11/26/2014,Left-footed shot,1,5
5,44,ronaldo,2/21/2012,Left-footed shot,1,6
6,45,ronaldo,2/26/2014,Left-footed shot,1,7
7,47,ronaldo,3/10/2010,Left-footed shot,1,8
8,54,ronaldo,3/4/2008,Left-footed shot,1,9
9,69,ronaldo,4/18/2017,Left-footed shot,1,10
10,71,ronaldo,4/2/2014,Left-footed shot,1,11
11,77,ronaldo,4/3/2013,Left-footed shot,1,12
12,92,ronaldo,8/7/2020,Left-footed shot,1,13
13,100,ronaldo,9/17/2013,Left-footed shot,2,15
14,103,ronaldo,9/26/2017,Left-footed shot,1,16
15,107,ronaldo,9/30/2009,Left-footed shot,1,17
16,109,ronaldo,9/30/2015,Left-footed shot,1,18
