,index,player,date,type,score,sum
0,0,ronaldo,10/1/2014,Penalty,1,1
1,2,ronaldo,10/17/2017,Penalty,1,2
2,7,ronaldo,10/23/2007,Penalty,1,3
3,8,ronaldo,10/23/2013,Penalty,1,4
4,15,ronaldo,11/2/2011,Penalty,1,5
5,19,ronaldo,11/23/2010,Penalty,1,6
6,38,ronaldo,12/8/2020,Penalty,2,8
7,39,ronaldo,12/9/2014,Penalty,1,9
8,41,ronaldo,2/14/2018,Penalty,1,10
9,51,ronaldo,3/12/2019,Penalty,1,11
10,61,ronaldo,4/11/2018,Penalty,1,12
11,74,ronaldo,4/25/2012,Penalty,1,13
12,83,ronaldo,5/13/2015,Penalty,1,14
13,87,ronaldo,5/24/2014,Penalty,1,15
14,93,ronaldo,8/7/2020,Penalty,1,16
15,94,ronaldo,9/13/2017,Penalty,1,17
16,98,ronaldo,9/15/2015,Penalty,2,19
