,index,player,date,type,score,sum
0,1,ronaldo,10/1/2019,Right-footed shot,1,1
1,5,ronaldo,10/22/2014,Right-footed shot,1,2
2,9,ronaldo,10/23/2013,Right-footed shot,1,3
3,10,ronaldo,10/24/2012,Right-footed shot,1,4
4,12,ronaldo,10/3/2012,Right-footed shot,2,6
5,13,ronaldo,11/1/2017,Right-footed shot,1,7
6,22,ronaldo,11/25/2015,Right-footed shot,1,8
7,25,ronaldo,11/5/2013,Right-footed shot,1,9
8,26,ronaldo,11/7/2007,Right-footed shot,1,10
9,27,ronaldo,11/7/2018,Right-footed shot,1,11
10,28,ronaldo,12/10/2013,Right-footed shot,1,12
11,29,ronaldo,12/11/2019,Right-footed shot,1,13
12,30,ronaldo,12/2/2020,Right-footed shot,1,14
13,31,ronaldo,12/4/2012,Right-footed shot,1,15
14,32,ronaldo,12/6/2017,Right-footed shot,1,16
15,34,ronaldo,12/8/2009,Right-footed shot,1,17
16,35,ronaldo,12/8/2010,Right-footed shot,1,18
17,37,ronaldo,12/8/2015,Right-footed shot,2,20
18,42,ronaldo,2/17/2016,Right-footed shot,1,21
19,46,ronaldo,2/26/2014,Right-footed shot,1,22
20,52,ronaldo,3/14/2012,Right-footed shot,2,24
21,53,ronaldo,3/18/2014,Right-footed shot,2,26
22,55,ronaldo,3/5/2013,Right-footed shot,1,27
23,57,ronaldo,3/8/2016,Right-footed shot,1,28
24,59,ronaldo,4/10/2007,Right-footed shot,2,30
25,64,ronaldo,4/12/2016,Right-footed shot,1,31
26,65,ronaldo,4/12/2017,Right-footed shot,2,33
27,66,ronaldo,4/13/2011,Right-footed shot,1,34
28,70,ronaldo,4/18/2017,Right-footed shot,1,35
29,73,ronaldo,4/24/2013,Right-footed shot,1,36
30,75,ronaldo,4/25/2012,Right-footed shot,1,37
31,78,ronaldo,4/3/2018,Right-footed shot,2,39
32,80,ronaldo,4/4/2012,Right-footed shot,1,40
33,81,ronaldo,4/5/2011,Right-footed shot,1,41
34,82,ronaldo,4/9/2013,Right-footed shot,2,43
35,85,ronaldo,5/2/2017,Right-footed shot,2,45
36,89,ronaldo,5/5/2009,Right-footed shot,1,46
37,91,ronaldo,6/3/2017,Right-footed shot,2,48
38,99,ronaldo,9/16/2014,Right-footed shot,1,49
39,101,ronaldo,9/18/2012,Right-footed shot,1,50
40,104,ronaldo,9/26/2017,Right-footed shot,1,51
41,105,ronaldo,9/27/2011,Right-footed shot,1,52
42,106,ronaldo,9/27/2016,Right-footed shot,1,53
43,108,ronaldo,9/30/2009,Right-footed shot,1,54
44,110,ronaldo,9/30/2015,Right-footed shot,1,55
